Edad,Sexo,Valor,Data,Tipo
0,Hombres,165066,Absolutos,nacional
1,Hombres,184358,Absolutos,nacional
2,Hombres,192706,Absolutos,nacional
3,Hombres,207975,Absolutos,nacional
4,Hombres,219278,Absolutos,nacional
5,Hombres,225105,Absolutos,nacional
6,Hombres,229827,Absolutos,nacional
7,Hombres,226994,Absolutos,nacional
8,Hombres,241025,Absolutos,nacional
9,Hombres,247622,Absolutos,nacional
10,Hombres,253127,Absolutos,nacional
11,Hombres,258406,Absolutos,nacional
12,Hombres,269870,Absolutos,nacional
13,Hombres,259774,Absolutos,nacional
14,Hombres,258644,Absolutos,nacional
15,Hombres,252967,Absolutos,nacional
16,Hombres,252458,Absolutos,nacional
17,Hombres,248888,Absolutos,nacional
18,Hombres,244855,Absolutos,nacional
19,Hombres,246333,Absolutos,nacional
20,Hombres,250219,Absolutos,nacional
21,Hombres,244541,Absolutos,nacional
22,Hombres,240376,Absolutos,nacional
23,Hombres,244271,Absolutos,nacional
24,Hombres,242842,Absolutos,nacional
25,Hombres,246257,Absolutos,nacional
26,Hombres,251070,Absolutos,nacional
27,Hombres,260396,Absolutos,nacional
28,Hombres,267593,Absolutos,nacional
29,Hombres,267573,Absolutos,nacional
30,Hombres,270724,Absolutos,nacional
31,Hombres,274834,Absolutos,nacional
32,Hombres,279711,Absolutos,nacional
33,Hombres,283061,Absolutos,nacional
34,Hombres,288940,Absolutos,nacional
35,Hombres,298902,Absolutos,nacional
36,Hombres,310662,Absolutos,nacional
37,Hombres,321367,Absolutos,nacional
38,Hombres,340348,Absolutos,nacional
39,Hombres,356110,Absolutos,nacional
40,Hombres,374035,Absolutos,nacional
41,Hombres,384232,Absolutos,nacional
42,Hombres,402128,Absolutos,nacional
43,Hombres,408481,Absolutos,nacional
44,Hombres,414169,Absolutos,nacional
45,Hombres,411571,Absolutos,nacional
46,Hombres,407252,Absolutos,nacional
47,Hombres,396837,Absolutos,nacional
48,Hombres,393574,Absolutos,nacional
49,Hombres,385906,Absolutos,nacional
50,Hombres,379387,Absolutos,nacional
51,Hombres,372948,Absolutos,nacional
52,Hombres,368186,Absolutos,nacional
53,Hombres,368213,Absolutos,nacional
54,Hombres,358309,Absolutos,nacional
55,Hombres,352772,Absolutos,nacional
56,Hombres,355618,Absolutos,nacional
57,Hombres,337034,Absolutos,nacional
58,Hombres,323397,Absolutos,nacional
59,Hombres,313940,Absolutos,nacional
60,Hombres,313216,Absolutos,nacional
61,Hombres,302926,Absolutos,nacional
62,Hombres,293835,Absolutos,nacional
63,Hombres,284134,Absolutos,nacional
64,Hombres,262733,Absolutos,nacional
65,Hombres,253051,Absolutos,nacional
66,Hombres,238463,Absolutos,nacional
67,Hombres,237836,Absolutos,nacional
68,Hombres,234665,Absolutos,nacional
69,Hombres,216572,Absolutos,nacional
70,Hombres,208146,Absolutos,nacional
71,Hombres,212031,Absolutos,nacional
72,Hombres,217917,Absolutos,nacional
73,Hombres,195470,Absolutos,nacional
74,Hombres,182249,Absolutos,nacional
75,Hombres,185685,Absolutos,nacional
76,Hombres,172241,Absolutos,nacional
77,Hombres,164742,Absolutos,nacional
78,Hombres,137658,Absolutos,nacional
79,Hombres,122184,Absolutos,nacional
80,Hombres,142522,Absolutos,nacional
81,Hombres,87950,Absolutos,nacional
82,Hombres,95015,Absolutos,nacional
83,Hombres,99963,Absolutos,nacional
84,Hombres,99973,Absolutos,nacional
85,Hombres,90172,Absolutos,nacional
86,Hombres,80832,Absolutos,nacional
87,Hombres,73337,Absolutos,nacional
88,Hombres,63957,Absolutos,nacional
89,Hombres,52278,Absolutos,nacional
90,Hombres,43017,Absolutos,nacional
91,Hombres,33541,Absolutos,nacional
92,Hombres,26407,Absolutos,nacional
93,Hombres,19112,Absolutos,nacional
94,Hombres,14443,Absolutos,nacional
95,Hombres,10076,Absolutos,nacional
96,Hombres,7251,Absolutos,nacional
97,Hombres,5001,Absolutos,nacional
98,Hombres,3229,Absolutos,nacional
99,Hombres,2075,Absolutos,nacional
100 y más,Hombres,3984,Absolutos,nacional
0,Hombres,6613,Absolutos,espana_rural
1,Hombres,7501,Absolutos,espana_rural
2,Hombres,7787,Absolutos,espana_rural
3,Hombres,8246,Absolutos,espana_rural
4,Hombres,8643,Absolutos,espana_rural
5,Hombres,9206,Absolutos,espana_rural
6,Hombres,9272,Absolutos,espana_rural
7,Hombres,9073,Absolutos,espana_rural
8,Hombres,9903,Absolutos,espana_rural
9,Hombres,10066,Absolutos,espana_rural
10,Hombres,10185,Absolutos,espana_rural
11,Hombres,10538,Absolutos,espana_rural
12,Hombres,10929,Absolutos,espana_rural
