Edad,Sexo,Valor,Tipo
86 años,Hombres,9371,espana_rural
87 años,Hombres,8665,espana_rural
88 años,Hombres,7986,espana_rural
89 años,Hombres,6686,espana_rural
90 años,Hombres,5689,espana_rural
91 años,Hombres,4384,espana_rural
92 años,Hombres,3527,espana_rural
93 años,Hombres,2623,espana_rural
94 años,Hombres,2077,espana_rural
95 años,Hombres,1392,espana_rural
96 años,Hombres,1133,espana_rural
97 años,Hombres,764,espana_rural
98 años,Hombres,537,espana_rural
99 años,Hombres,298,espana_rural
100 y más años,Hombres,553,espana_rural
0 años,Hombres,158453,espana_urbana
1 año,Hombres,176857,espana_urbana
2 años,Hombres,184919,espana_urbana
3 años,Hombres,199729,espana_urbana
4 años,Hombres,210635,espana_urbana
5 años,Hombres,215899,espana_urbana
6 años,Hombres,220555,espana_urbana
7 años,Hombres,217921,espana_urbana
8 años,Hombres,231122,espana_urbana
9 años,Hombres,237556,espana_urbana
10 años,Hombres,242942,espana_urbana
11 años,Hombres,247868,espana_urbana
12 años,Hombres,258941,espana_urbana
13 años,Hombres,249040,espana_urbana
14 años,Hombres,247993,espana_urbana
15 años,Hombres,242120,espana_urbana
16 años,Hombres,241789,espana_urbana
17 años,Hombres,238154,espana_urbana
18 años,Hombres,233932,espana_urbana
19 años,Hombres,235132,espana_urbana
20 años,Hombres,238505,espana_urbana
21 años,Hombres,232914,espana_urbana
22 años,Hombres,228529,espana_urbana
23 años,Hombres,231876,espana_urbana
24 años,Hombres,230863,espana_urbana
25 años,Hombres,233789,espana_urbana
26 años,Hombres,238461,espana_urbana
27 años,Hombres,247344,espana_urbana
28 años,Hombres,253800,espana_urbana
29 años,Hombres,253832,espana_urbana
30 años,Hombres,256486,espana_urbana
31 años,Hombres,260331,espana_urbana
32 años,Hombres,264807,espana_urbana
33 años,Hombres,268283,espana_urbana
34 años,Hombres,273573,espana_urbana
35 años,Hombres,283706,espana_urbana
36 años,Hombres,294537,espana_urbana
37 años,Hombres,304945,espana_urbana
38 años,Hombres,322979,espana_urbana
39 años,Hombres,337930,espana_urbana
40 años,Hombres,354751,espana_urbana
41 años,Hombres,364743,espana_urbana
42 años,Hombres,381794,espana_urbana
43 años,Hombres,387574,espana_urbana
44 años,Hombres,392507,espana_urbana
45 años,Hombres,389990,espana_urbana
46 años,Hombres,385649,espana_urbana
47 años,Hombres,375064,espana_urbana
48 años,Hombres,371610,espana_urbana
49 años,Hombres,363720,espana_urbana
50 años,Hombres,357019,espana_urbana
51 años,Hombres,349688,espana_urbana
52 años,Hombres,344668,espana_urbana
53 años,Hombres,344068,espana_urbana
54 años,Hombres,334376,espana_urbana
55 años,Hombres,328607,espana_urbana
56 años,Hombres,330694,espana_urbana
57 años,Hombres,312319,espana_urbana
58 años,Hombres,299052,espana_urbana
59 años,Hombres,289589,espana_urbana
60 años,Hombres,288895,espana_urbana
61 años,Hombres,279039,espana_urbana
62 años,Hombres,270801,espana_urbana
63 años,Hombres,261989,espana_urbana
64 años,Hombres,242236,espana_urbana
65 años,Hombres,233274,espana_urbana
66 años,Hombres,219578,espana_urbana
67 años,Hombres,218805,espana_urbana
68 años,Hombres,215833,espana_urbana
69 años,Hombres,199355,espana_urbana
70 años,Hombres,191271,espana_urbana
71 años,Hombres,195101,espana_urbana
72 años,Hombres,200401,espana_urbana
73 años,Hombres,179660,espana_urbana
74 años,Hombres,167374,espana_urbana
75 años,Hombres,170398,espana_urbana
76 años,Hombres,157379,espana_urbana
77 años,Hombres,150565,espana_urbana
78 años,Hombres,125339,espana_urbana
79 años,Hombres,110876,espana_urbana
80 años,Hombres,129392,espana_urbana
81 años,Hombres,79783,espana_urbana
82 años,Hombres,85965,espana_urbana
83 años,Hombres,89702,espana_urbana
84 años,Hombres,88625,espana_urbana
85 años,Hombres,80098,espana_urbana
86 años,Hombres,71461,espana_urbana
87 años,Hombres,64672,espana_urbana
